Date,Open,High,Low,Close,Adj Close,Volume
2024-08-07,56040.63,57726.88,54620.51,55027.46,55027.46,41637562185.00
2024-08-08,55030.03,62673.77,54766.73,61710.14,61710.14,45298472567.00
2024-08-09,61728.21,61751.86,59587.86,60880.11,60880.11,33425553115.00
2024-08-10,60881.23,61464.51,60287.57,60945.81,60945.81,15745822278.00
2024-08-11,60944.89,61778.66,58348.82,58719.48,58719.48,22759754812.00
2024-08-12,58719.39,60680.33,57688.90,59354.52,59354.52,37078637820.00
2024-08-13,59356.21,61572.40,58506.25,60609.57,60609.57,30327698167.00
2024-08-14,60611.05,61687.76,58472.88,58737.27,58737.27,29961696180.00
2024-08-15,58733.26,59838.65,56161.59,57560.10,57560.10,35682112440.00
2024-08-16,57560.27,59847.36,57110.02,58894.11,58894.11,29350938673.00
2024-08-17,58893.53,59694.67,58814.83,59478.97,59478.97,13589684021.00
2024-08-18,59468.13,60262.72,58445.40,58483.96,58483.96,17740625837.00
2024-08-19,58480.71,59612.66,57864.71,59493.45,59493.45,25911207712.00
2024-08-20,59493.45,61396.33,58610.88,59012.79,59012.79,31613400008.00
2024-08-21,59014.99,61834.35,58823.45,61175.19,61175.19,32731154072.00
2024-08-22,61168.32,61408.11,59815.25,60381.91,60381.91,27625734377.00
2024-08-23,60380.95,64947.06,60372.05,64094.36,64094.36,42530509233.00
2024-08-24,64103.87,64513.79,63619.92,64178.99,64178.99,21430585163.00
2024-08-25,64176.37,64996.42,63833.52,64333.54,64333.54,18827683555.00
2024-08-26,64342.23,64489.71,62849.56,62880.66,62880.66,27682040631.00
2024-08-27,62879.71,63210.80,58116.75,59504.13,59504.13,39103882198.00
2024-08-28,59507.93,60236.45,57890.68,59027.63,59027.63,40289564698.00
2024-08-29,59027.47,61184.08,58786.23,59388.18,59388.18,32224990582.00
2024-08-30,59388.60,59896.89,57768.53,59119.48,59119.48,32292756405.00
2024-08-31,59117.48,59432.59,58768.79,58969.90,58969.90,12403470760.00
2024-09-01,58969.80,59062.07,57217.82,57325.49,57325.49,24592449997.00
2024-09-02,57326.97,59403.07,57136.03,59112.48,59112.48,27036454524.00
2024-09-03,59106.19,59815.06,57425.17,57431.02,57431.02,26666961053.00
2024-09-04,57430.35,58511.57,55673.16,57971.54,57971.54,35627680312.00
2024-09-05,57971.70,58300.58,55712.45,56160.49,56160.49,31030280656.00
2024-09-06,56160.19,56976.11,52598.70,53948.75,53948.75,49361693566.00
2024-09-07,53949.09,54838.14,53740.07,54139.69,54139.69,19061486526.00
2024-09-08,54147.93,55300.86,53653.76,54841.57,54841.57,18268287531.00
2024-09-09,54851.89,58041.13,54598.43,57019.54,57019.54,34618096173.00
2024-09-10,57020.10,58029.98,56419.41,57648.71,57648.71,28857630507.00
2024-09-11,57650.29,57991.32,55567.34,57343.17,57343.17,37049062672.00
2024-09-12,57343.17,58534.36,57330.10,58127.01,58127.01,33835707949.00
2024-09-13,58130.32,60648.02,57650.11,60571.30,60571.30,32490528356.00
2024-09-14,60569.12,60656.72,59517.88,60005.12,60005.12,16428405496.00
2024-09-15,60000.73,60381.92,58696.31,59182.84,59182.84,18120960867.00
2024-09-16,59185.23,59205.51,57501.34,58192.51,58192.51,32032822113.00
2024-09-17,58192.51,61316.09,57628.07,60308.54,60308.54,38075570118.00
2024-09-18,60309.00,61664.07,59218.25,61649.68,61649.68,40990702891.00
2024-09-19,61651.16,63872.44,61609.87,62940.46,62940.46,42710252573.00
2024-09-20,62941.43,64119.53,62364.61,63192.98,63192.98,35177164222.00
2024-09-21,63184.34,63543.36,62783.11,63394.84,63394.84,14408616220.00
2024-09-22,63396.80,63993.42,62440.73,63648.71,63648.71,20183348802.00
2024-09-23,63643.10,64733.56,62628.08,63329.80,63329.80,31400285425.00
